State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Manipur,Thoubal,Kakching C.D.Block,Thounaojam,1053987.0,Bus stand ,Thounaojam,2020-02-28 13:24:07.423002,Transport/Admin,Bus Stand,24.44882675,93.93404143
Manipur,Thoubal,Kakching C.D.Block,Thounaojam,1053987.0,Bazar shed,Thounaojam bazar,2020-02-29 14:47:18.069997,Agro ,Mandi (Notified),24.45173612784,93.934240013791
Manipur,Bishnupur,Moirang C.D.Block,Torbung,1063026.0,Bus Stand,Torbung Phougakchao,2020-06-25 10:35:03.239998,Transport/Admin,Bus Stand,24.43536501,93.72086762
Manipur,Bishnupur,Moirang C.D.Block,Torbung,1063026.0,Primary Health Centre,torbung,2020-06-25 10:35:29.883002,Medical ,Primary Health Centre,24.43721329,93.72261412
Manipur,Bishnupur,Moirang C.D.Block,Torbung,1063026.0,Panchayat Headquarter,Torbung,2020-06-25 19:24:33.047003,Transport/Admin,Panchayat Headquarter,24.43598102,93.72099735
Manipur,Churachandpur,Churachandpur T.D.Block,Torbung Loklaiphai,1063028.0,Mandi (Notified),Torbung,2020-12-09 18:59:30.119997,Agro ,Mandi (Notified),24.43101293,93.71749235
Manipur,Senapati,Kangpokpi T.D.Block,Tuijang Pt-II,1064349.0,Upper Primary School,Tujang Pt II,2020-06-23 19:44:33.300001,Education ,High School - General,25.07391997,93.92291624
Manipur,Tamenglong,Tamenglong T.D.Block,KHONGJARON KHUNTHAK,559599.0,Bus stand,Khongjaron,2020-11-29 06:54:28.817001,Transport/Admin,Bus Stand,24.96572206,93.49650932
Manipur,Tamenglong,Tamenglong T.D.Block,KHONGJARON KHUNTHAK,559599.0,Immanuel Public School,Khongjaron,2020-11-29 06:54:17.196995,Education ,High School - General,24.96599427,93.49643314
Manipur,Tamenglong,Tamenglong T.D.Block,KHONGJARON KHUNTHAK,559599.0,Bus stand no. 2,Khongjaron,2020-11-29 06:54:37.852998,Transport/Admin,Bus Stand,24.96425253,93.49136985
Manipur,Imphal West,Imphal West-II C.D.Block,Kodompokpi,569610.0,suranjoy english acadamy,kodompokpi,2020-09-10 19:04:59.440000,Education ,High School - General,24.73610046,93.87857552
Manipur,Imphal West,Imphal West-II C.D.Block,Kodompokpi,569610.0,bus stand,kodompokpi,2020-09-10 19:03:46.957000,Transport/Admin,Bus Stand,24.73689881,93.87702759
Manipur,Imphal West,Imphal West-II C.D.Block,Kodompokpi,569610.0,kodompokpi,kodompokpi,2020-10-30 19:35:07.893001,Medical ,Primary Health Centre,24.73576781,93.87693881
Manipur,Imphal West,Imphal West-II C.D.Block,Kodompokpi,569610.0,veterinary hospital,kodompokpi,2020-09-10 19:03:30.190000,Medical ,Veterinary Hospital,24.73671161,93.87709947
Manipur,Imphal West,Imphal West-II C.D.Block,Kodompokpi,569610.0,panchayet HQ,kodompokpi,2020-09-10 19:05:18.383001,Transport/Admin,Panchayat Headquarter,24.73613578,93.87859767
