State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Nagaland,Phek,Pfutsero,Chizami village,1307108,mandi,chizami village,2020-07-16 23:45:53.187,Agro ,Mandi (Notified),25.59020728,94.38293934
Nagaland,Phek,Pfutsero,Chizami village,1307108,pack house.1,chizami village,2020-07-16 23:46:24.300,Agro ,Collection Centre or Pack House,25.59020728,94.38293934
Nagaland,Phek,Pfutsero,Chizami village,1307108,agro base industry NEN,chizami village,2020-07-16 23:46:43.680,Agro ,Agro Industry,25.58729719,94.37775421
Nagaland,Phek,Pfutsero,Chizami village,1307108,warehouse.1,chizami,2020-07-16 10:57:19.530,Agro ,Warehouse,25.59228898,94.38520853
Nagaland,Phek,Pfutsero,Chizami village,1307108,collection centre,chizami village,2020-07-16 23:42:43.487,Agro ,Collection Centre or Pack House,25.59278467,94.38223562
Nagaland,Phek,Pfutsero,Chizami village,1307108,warehouse.4,chizami village,2020-07-16 23:45:23.383,Agro ,Warehouse,25.59229701,94.38433514
Nagaland,Phek,Pfutsero,Chizami village,1307108,warehouse.3,chizami village,2020-07-16 23:44:17.177,Agro ,Warehouse,25.59229701,94.38433514
Nagaland,Wokha,Wozhuro/Ralang,Ralan Old,896968,SDO Civil,Ralan Old,2020-07-17 18:21:37.120,Transport/Admin,Block Headquarter,26.00778923,93.95174537
Nagaland,Wokha,Wozhuro/Ralang,Ralan Old,896968,Mertz Rubber Enterprise,Ralan Old,2020-07-17 18:23:10.610,Agro ,Collection Centre or Pack House,26.00981929,93.93180807
Nagaland,Wokha,Wozhuro/Ralang,Ralan Old,896968,Bus Stand,Ralan Old ,2020-07-17 18:24:37.070,Transport/Admin,Bus Stand,26.00975408,93.93378312
Nagaland,Wokha,Wozhuro/Ralang,Ralan Old,896968,PHC,Ralan Old,2020-07-17 18:23:56.663,Medical ,Primary Health Centre,26.01028029,93.93333121
Nagaland,Mon,Chen,Chaoha Chinglen,205642,Chaoha Chinglen vill council,Chaoha Chinglen,,Transport/Admin,Panchayat Headquarter,,
Nagaland,Mon,Chen,Chaoha Chinglen,205642,bus stand,Chaoha Chinglen,,Transport/Admin,Bus Stand,,
Nagaland,Mon,Chen,Chaoha Chinglen,205642,mandi,Chaoha Chinglen,,Agro ,Mandi (Notified),,
Nagaland,Zunheboto,Suruhuto,Surumi,1021276,Bus Stand,Surumi,2020-07-09 10:52:56.670,Transport/Admin,Bus Stand,26.15131992381,94.562143916264
Nagaland,Zunheboto,Suruhuto,Surumi,1021276,Block Panchayat HQ,Surumi,2020-07-09 10:53:19.903,Transport/Admin,Panchayat Headquarter,26.151420590467,94.562103180214
Nagaland,Zunheboto,Suruhuto,Aichisaghemi,18987,Bus Stand,Aichisaghemi,2020-07-09 10:38:09.103,Transport/Admin,Bus Stand,26.113749383948,94.583683898672
Nagaland,Zunheboto,Suruhuto,Aichisaghemi,18987,Block Panchayat HQ,Aichisaghemi,2020-07-09 10:38:29.180,Transport/Admin,Panchayat Headquarter,26.117765656672,94.591515194624
Nagaland,Dimapur,Niuland,K Hetoi,556659,k hetoi vill council,K hetoi,2020-07-10 14:34:47.757,Transport/Admin,Panchayat Headquarter,25.96189,93.91698
Nagaland,Dimapur,Niuland,K Hetoi,556659,bus stand,K hetoi,2020-07-10 14:29:53.897,Transport/Admin,Bus Stand,25.958701666666,93.915659999999
Nagaland,Zunheboto,Tokiye,Khukishe,561241,PHC,Khukishe,2020-06-25 16:30:54.470,Medical ,Primary Health Centre,25.954226666666,94.556346666666
Nagaland,Zunheboto,Tokiye,Khukishe,561241,ware house,Khukishe,2020-06-25 20:09:00.593,Agro ,Warehouse,25.954108333333,94.547863333333
Nagaland,Zunheboto,Tokiye,Khukishe,561241,Khukishe vill council,Khukishe,2020-06-25 20:02:38.467,Transport/Admin,Panchayat Headquarter,25.954563333333,94.548683333333
Nagaland,Zunheboto,Tokiye,Khukishe,561241,mandi,Khukishe,2020-06-25 20:11:02.860,Agro ,Mandi (Notified),25.954863333333,94.551328333333
Nagaland,Kiphire,Kiphire,Amahator  Hdq,1307260,Govt High School,Amahator Hq,2020-06-27 00:25:47.173,Education ,High School - General,25.93995488,94.74528864
Nagaland,Kiphire,Kiphire,Amahator  Hdq,1307260,PHC Amahator,Amahator,2020-06-27 00:25:02.797,Medical ,Primary Health Centre,25.94103726,94.74617797
Nagaland,Kiphire,Kiphire,Amahator  Hdq,1307260,EAC Hq,Amahator,2020-06-27 00:25:24.733,Transport/Admin,Block Headquarter,25.94159367,94.74608484
Nagaland,Phek,Kikruma,Phuyoba,1312267,Village Council,Phuyoba,2020-06-27 08:23:58.857,Transport/Admin,Panchayat Headquarter,25.641237531105,94.291690447778
Nagaland,Phek,Kikruma,Phuyoba,1312267,Mandi,Phuyoba,2020-06-27 08:22:55.700,Agro ,Mandi (Notified),25.640109724971,94.291106958189
Nagaland,Mokokchung,Mangkolemba,Alongkima,1313233,Alongkima GHS,Alongkima,2020-07-25 09:44:10.590,Education ,High School - General,26.540964999999,94.513841666666
Nagaland,Mokokchung,Mangkolemba,Alongkima,1313233,Village Council,Alongkima,2020-07-25 09:47:48.090,Transport/Admin,Panchayat Headquarter,26.540211666666,94.514606666666
Nagaland,Mon,Tizit,Tizit Hq,1313276,Mandi,Tizit Hq,2020-07-15 10:32:45.647,Agro ,Mandi (Notified),26.9530931,95.0577596
Nagaland,Longleng,Longleng,Pongo,860946,Govt High School,Pongo Village,2020-07-08 09:48:30.737,Education ,High School - General,26.483282181434,94.867184003815
Nagaland,Longleng,Longleng,Pongo,860946,Pongo Village Council,Pongo,2020-07-08 09:11:56.830,Transport/Admin,Panchayat Headquarter,26.483782497234,94.867595890536
Nagaland,Longleng,Longleng,Pongo,860946,Bus Stand,Pongo,2020-07-08 09:22:22.437,Transport/Admin,Bus Stand,26.483752657659,94.867531936615
Nagaland,Kiphire,Pungro,Pungro Hdq,870177,SBI,Pungro Town,2020-06-27 00:29:10.023,Transport/Admin,Bank,25.81329799,94.84288096
Nagaland,Kiphire,Pungro,Pungro Hdq,870177,Bus Stand,Pungro Town,2020-06-27 00:32:06.370,Transport/Admin,Bus Stand,25.80883328,94.84411479
Nagaland,Kiphire,Pungro,Pungro Hdq,870177,GHS Pungro Town,Pungro Town,2020-06-27 00:39:20.310,Education ,High School - General,25.80978804,94.84329123
Nagaland,Kiphire,Pungro,Pungro Hdq,870177,GHSS,Pungro Town,2020-06-27 00:32:54.307,Education ,Higher Secondary School,25.80962988,94.84291198
Nagaland,Kiphire,Pungro,Pungro Hdq,870177,Mandi,Pungro Hq,2020-06-27 00:30:24.777,Agro ,Mandi (Notified),25.8130907,94.84405076
Nagaland,Kiphire,Pungro,Pungro Hdq,870177,Mount Horeb Baptist School,Pungro Hq,2020-06-27 00:29:39.010,Education ,High School - General,25.81455696,94.84661623
Nagaland,Kiphire,Pungro,Pungro Hdq,870177,Christian School,Pungro Hq,2020-06-27 00:32:31.417,Education ,High School - General,25.80777758,94.84201438
Nagaland,Kiphire,Pungro,Pungro Hdq,870177,LFS,Pungro Town,2020-06-27 00:31:21.277,Education ,High School - Girls,25.80610602,94.84680429
