State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Pondicherry,Puducherry,Ariankuppam,Pandasollanallur,1388303,Govt primary school,pandasollanallur,2021-08-30 15:18:53.510,Education ,High School - General,11.856748333333,79.644933333333
Pondicherry,Puducherry,Villianur,Koodapakkam,1388369,Primary health centre,koodapakkam,2021-08-09 18:34:34.717,Medical ,Primary Health Centre,11.93486007,79.73354066
Pondicherry,Puducherry,Villianur,Koodapakkam,1388369,Government higher secondary school,near koneri kuppam road,2021-08-09 18:35:41.133,Education ,Higher Secondary School,11.93243124,79.73004284
Pondicherry,Puducherry,Villianur,Koodapakkam,1388369,Indianoil petrol bunk,pathukannu junction road,2021-08-09 18:33:25.027,Transport/Admin,Fuel Station,11.94271048,79.72645676
Pondicherry,Puducherry,Villianur,Agaram,1388403,Bus Stop,kudapakkam road,2021-08-13 12:10:01.590,Transport/Admin,Bus Stand,11.93146012,79.73784211
Pondicherry,Karaikal,karaikal,Rayanpalayam,1388703,Karaikal   Govt polytechnic,"Main road  , varichikudy",2021-08-25 21:23:35.823,Education ,Higher Secondary School,10.97670162,79.82458321
Pondicherry,Karaikal,karaikal,Rayanpalayam,1388703,Govt primary school,Rayanpalayam,2021-08-25 21:24:07.593,Education ,High School - General,10.97364964,79.82104338
Pondicherry,Karaikal,karaikal,Rayanpalayam,1388703,Navodaya  vidyalaya,"Rayanpalayam, Varichikudy",2021-08-25 21:23:53.777,Education ,Higher Secondary School,10.971718,79.82477352
Pondicherry,Karaikal,karaikal,Rayanpalayam,1388703,Health  sub center,Rayanpalayam,2021-08-25 21:24:46.587,Medical ,Primary Health Centre,10.97404911,79.82057455
Pondicherry,Karaikal,karaikal,Pandaravadai Sethur,1389103,Govt primary  school  cbsc,sethur  pandaravadai,2021-08-17 11:58:10.167,Education ,High School - General,10.93068577,79.74380329
Pondicherry,Puducherry,Ariankuppam,Manavely,1388233,Govt girls higher secondary school,manavely,2021-09-23 13:00:26.230,Education ,Higher Secondary School,11.892145,79.809761666667
Pondicherry,Puducherry,Ariankuppam,Manavely,1388233,Govt primary school,Manavely,2021-09-23 12:56:26.157,Education ,High School - General,11.890723333333,79.809626666667
Pondicherry,Puducherry,Ariankuppam,Edayarpalayam,1388240,Govt primary school,Edayarpalayam,2021-09-17 12:00:59.903,Education ,High School - General,11.870065,79.798666666667
Pondicherry,Puducherry,Ariankuppam,Maducarai  West,1388290,Primary Health Centre,Madukarai,2021-08-04 18:27:25.120,Medical ,Primary Health Centre,11.870693333333,79.605426666667
Pondicherry,Puducherry,Ariankuppam,Maducarai  West,1388290,Bus Stand,Manthavel Madukarai,2021-08-04 18:22:16.923,Transport/Admin,Bus Stand,11.86948,79.60605
Pondicherry,Puducherry,Ariankuppam,Maducarai  West,1388290,"Govt. Primary School, English Medium (CBSC syllabus)",Madukarai,2021-08-04 18:28:39.157,Education ,High School - General,11.870163333333,79.605776666667
Pondicherry,Puducherry,Ariankuppam,Maducarai  West,1388290,Govt. Girls Higher Secondary School,Madukarai,2021-08-04 18:24:57.583,Education ,Higher Secondary School,11.87005,79.605566666667
Pondicherry,Puducherry,Ariankuppam,Maducarai  West,1388290,PBGB Bank,Madukarai,2021-08-27 14:18:59.750,Transport/Admin,Bank,11.868918333333,79.605725
Pondicherry,Puducherry,Ariankuppam,Maducarai  West,1388290,Idian oil fuel station,maducarai,2021-08-27 14:20:27.800,Transport/Admin,Fuel Station,11.872768333333,79.60208
Pondicherry,Puducherry,Ariankuppam,Maducarai  West,1388290,EVERGREEN ENGLISH HIGH SCHOOL,Maducarai,2021-08-27 14:19:46.567,Education ,High School - General,11.871201666667,79.60531
Pondicherry,Puducherry,Villianur,Sulthanpet,1388390,Indian Bank,Sulthanpet,2021-08-13 12:11:01.767,Transport/Admin,Bank,11.92411547,79.76080055
Pondicherry,Puducherry,Villianur,Sulthanpet,1388390,kanniamigu quaide milleth government higher secondary school,sulthanpet,2021-08-13 12:12:06.250,Education ,Higher Secondary School,11.92058716,79.76069662
Pondicherry,Puducherry,Villianur,Odiampet East,1388397,SRI SANKARA VIDHYASHRAMAM HIGHER SECONDERY SCHOOL,Odiampet,2021-08-28 09:37:09.063,Education ,Higher Secondary School,11.89819587,79.76690314
Pondicherry,Puducherry,Villianur,Odiampet East,1388397,Govt Primary school,Odiampet,2021-08-27 16:37:20.743,Education ,High School - General,11.90701378,79.77562761
Pondicherry,Karaikal,karaikal,Kannapore,1389040,Govt  Primary school,Kannapore,2021-08-18 18:45:18.693,Education ,High School - General,10.96143287,79.74232692
Pondicherry,Karaikal,karaikal,Nallathur,1388745,govt primary school,Nallathur,2021-08-12 18:03:51.603,Education ,High School - General,10.9260719,79.8381016
Pondicherry,Karaikal,karaikal,Nallathur,1388745,IOC Petrol  bunk,Nallathur,2021-08-17 20:57:44.457,Transport/Admin,Fuel Station,11.00013201,79.7529036
Pondicherry,Karaikal,karaikal,Karukkankudy,1389046,Andavar High school (Private),Karukankudi,2021-08-18 18:58:14.417,Education ,High School - General,10.94408703,79.7729902
Pondicherry,Karaikal,karaikal,Karukkankudy,1389046,Govt  Middle school,Karukankudi,2021-08-18 18:56:52.780,Education ,High School - General,10.94878431,79.75574047
Pondicherry,Karaikal,karaikal,Karukkankudy,1389046,Health  sub center,Karukkankudi,2021-08-18 18:57:16.910,Medical ,Primary Health Centre,10.94555682,79.77293414
Pondicherry,Karaikal,karaikal,Kakamozhy,1389145,Govt Primary  school,Kakamozhy,2021-08-19 16:28:36.310,Education ,High School - General,10.89411884,79.79916166
Pondicherry,Karaikal,karaikal,Kakamozhy,1389145,Bus stop,Kakamozhi,2021-08-19 16:27:56.467,Transport/Admin,Bus Stand,10.89484939,79.80042902
Pondicherry,Karaikal,karaikal,T.R.Pattinam Central,1389124,Bus stop,TR Pattinam,2021-08-22 14:24:04.110,Transport/Admin,Bus Stand,10.87481856,79.83256516
Pondicherry,Karaikal,karaikal,T.R.Pattinam Central,1389124,PSCB Bank,Tr pattinam,2021-08-22 14:23:50.007,Transport/Admin,Bank,10.87476898,79.83260715
Pondicherry,Karaikal,karaikal,T.R.Pattinam Central,1389124,IOB Bank,TR Pattinam,2021-08-22 14:23:36.323,Transport/Admin,Bank,10.87322624,79.83263437
Pondicherry,Karaikal,karaikal,T.R.Pattinam Central,1389124,Co operative  agro  credit  society,TR  pattinam,2021-08-22 14:23:06.900,Agro ,Collection Centre or Pack House,10.872983336449,79.834905266762
Pondicherry,Karaikal,karaikal,T.R.Pattinam Central,1389124,Govt Primary school  Melaiyur,Melaiyur   T R pattinam,2021-08-20 21:06:08.597,Education ,High School - General,10.87229634,79.82539448
Pondicherry,Karaikal,karaikal,Vadakkuvanjure,1389135,Govt primary school KV Kuppam,Vadakkuu  vanjure,2021-08-22 14:22:11.243,Education ,High School - General,10.85181282,79.84459298
Pondicherry,Karaikal,karaikal,Vadakkuvanjure,1389135,Health  sub  center,Vadakku vanjore,2021-08-22 14:22:24.400,Medical ,Primary Health Centre,10.85153729,79.84559605
Pondicherry,Puducherry,Ariankuppam,Aranganur ,1388266,milk collection centre,Aranganur,2021-08-26 13:41:08.867,Agro ,Collection Centre or Pack House,11.831411666667,79.749945
Pondicherry,Puducherry,Ariankuppam,Aranganur ,1388266,Govt.Primary school,Aranganur,2021-08-26 13:40:08.727,Education ,High School - General,11.831393333333,79.750021666667
Pondicherry,Puducherry,Ariankuppam,Aranganur ,1388266,Health sub centre,Aranganur,2021-08-26 12:54:43.767,Medical ,Primary Health Centre,11.831855,79.749871666667
Pondicherry,Puducherry,Ariankuppam,Aranganur ,1388266,ESSAR Fuel station,Aranganur,2021-08-26 12:45:50.913,Transport/Admin,Fuel Station,11.832176666667,79.749826666667
Pondicherry,Puducherry,Ariankuppam,Aranganur ,1388266,ESSAR Fuel bunk,Aranganur,2021-08-27 14:31:15.890,Transport/Admin,Fuel Station,11.832176666667,79.749826666667
